,timestamp_mdf,GPS_Week,GPS_Seconds,Latitude_deg,Longitude_deg,Height_m,Undulation_m,North_Velocity_m_invert_s,East_Velocity_m_invert_s,Up_Velocity_m_invert_s,Roll_deg,Pitch_deg,Azimuth_deg,INS_Status,Latitude_Sigma,Longitude_Sigma,Height_Sigma,North_Vel_Sigma,East_Vel_Sigma,Up_Vel_Sigma,Roll_Sigma,Pitch_Sigma,Azimuth_Sigma
298,1645015685940060.0,,,,,,,,,,,,,,,,,,,,,,
299,1645015685949693.8,,,,,,,,,,,,,,,,,,,,,,
300,1645015685959480.2,,,,,,,,,,,,,,,,,,,,,,
301,1645015685969459.5,,,,,,,,,,,,,,,,,,,,,,
302,1645015685979346.0,,,,,,,,,,,,,,,,,,,,,,
303,1645015685991002.0,,,,,,,,,,,,,,,,,,,,,,
304,1645015685999486.2,,,,,,,,,,,,,,,,,,,,,,
305,1645015686009396.8,,,,,,,,,,,,,,,,,,,,,,
306,1645015686019492.5,,,,,,,,,,,,,,,,,,,,,,
307,1645015686029436.5,,,,,,,,,,,,,,,,,,,,,,
308,1645015686039392.0,,,,,,,,,,,,,,,,,,,,,,
309,1645015686049465.8,,,,,,,,,,,,,,,,,,,,,,
310,1645015686059491.2,,,,,,,,,,,,,,,,,,,,,,
311,1645015686069346.0,,,,,,,,,,,,,,,,,,,,,,
312,1645015686080596.0,,,,,,,,,,,,,,,,,,,,,,
313,1645015686089384.5,,,,,,,,,,,,,,,,,,,,,,
314,1645015686099411.5,,,,,,,,,,,,,,,,,,,,,,
315,1645015686109430.8,,,,,,,,,,,,,,,,,,,,,,
316,1645015686119540.2,,,,,,,,,,,,,,,,,,,,,,
317,1645015686129366.8,,,,,,,,,,,,,,,,,,,,,,
318,1645015686140117.2,,,,,,,,,,,,,,,,,,,,,,
319,1645015686149467.5,,,,,,,,,,,,,,,,,,,,,,
320,1645015686159377.8,,,,,,,,,,,,,,,,,,,,,,
321,1645015686169448.0,,,,,,,,,,,,,,,,,,,,,,
322,1645015686179521.5,,,,,,,,,,,,,,,,,,,,,,
323,1645015686189342.0,,,,,,,,,,,,,,,,,,,,,,
324,1645015686199470.5,,,,,,,,,,,,,,,,,,,,,,
325,1645015686209496.0,,,,,,,,,,,,,,,,,,,,,,
